DUID,REGIONID,CONNECTIONPOINTID,STATIONID,FY15-16,FY16-17,FY17-18,FY18-19,FY19-20,FY20-21,FY21-22,FY22-23,FY23-24,FY24-25,FY25-26,FY26-27,LATEST_MLF,PREV_MLF,YOY_CHANGE,YOY_PCT_CHANGE,STATION_NAME,FUEL_SOURCE,FUEL_CATEGORY,TECHNOLOGY,CAPACITY_MW,DUID_TYPE,STATUS
MURAYNL2,VIC1,NMURL2,MURRAY,0.9885,0.959,0.8964,0.9069,0.9539,0.9674,0.9966,0.9719,0.985,0.9947,0.9819,0.9565,0.9565,0.9819,-0.0254,-2.59,Murray Power Station,,Hydro,,25.0,Generator,Active
MURAYNL1,VIC1,NMURL1,MURRAY,0.9885,0.959,0.8964,0.9069,0.9539,0.9674,0.9966,0.9719,0.985,0.9947,0.9819,0.9565,0.9565,0.9819,-0.0254,-2.59,Murray Power Station,,Hydro,,25.0,Generator,Active
MURRAY,VIC1,NMUR8,MURRAY,0.9885,0.959,0.8964,0.9069,0.9539,0.9674,0.9966,0.9719,0.985,0.9947,0.9819,0.9565,0.9565,0.9819,-0.0254,-2.59,Murray Power Station,Water,Hydro,Hydro - Gravity,1500.0,Generator,Active
HUMEV,VIC1,VHUM,HUMEV,0.9768,0.9947,0.8911,0.9498,0.9439,0.9833,0.9933,0.9535,0.9389,0.9539,0.9586,0.957,0.957,0.9586,-0.0016,-0.17,Hume (Vic) Hydro Power Station,Water,Hydro,Hydro - Gravity,29.0,Generator,Active
YWNL1,VIC1,VYP2L,YALLOURN,0.9563,0.9509,0.9558,0.9573,0.9546,0.9549,0.9596,0.9602,0.9624,0.9604,0.9599,0.9584,0.9584,0.9599,-0.0015,-0.16,YALLOURN 'W' POWER STATION,,Fossil,,25.0,Generator,Active
YWPS2,VIC1,VYP22,YALLOURN,0.9563,0.9509,0.9558,0.9573,0.9546,0.9549,0.9596,0.9602,0.9624,0.9604,0.9599,0.9584,0.9584,0.9599,-0.0015,-0.16,Yallourn 'W' Power Station,Brown Coal,Fossil,Steam Sub-Critical,360.0,Generator,Active
YWPS3,VIC1,VYP23,YALLOURN,0.9563,0.9509,0.9558,0.9573,0.9546,0.9549,0.9596,0.9602,0.9624,0.9604,0.9599,0.9584,0.9584,0.9599,-0.0015,-0.16,Yallourn 'W' Power Station,Brown Coal,Fossil,Steam Sub-Critical,380.0,Generator,Active
YWPS4,VIC1,VYP24,YALLOURN,0.9563,0.9509,0.9558,0.9573,0.9546,0.9549,0.9596,0.9602,0.9624,0.9604,0.9599,0.9584,0.9584,0.9599,-0.0015,-0.16,Yallourn 'W' Power Station,Brown Coal,Fossil,Steam Sub-Critical,380.0,Generator,Active
BAPS,VIC1,VDPS2,BAPS,1.0004,0.9812,0.9372,0.9249,0.949,0.9854,0.9861,0.9542,0.9622,0.9814,0.9729,0.9599,0.9599,0.9729,-0.013,-1.34,Banimboola Power Station,Water,Hydro,Hydro - Gravity,12.85,Generator,Active
DARTM1,VIC1,VDPS,DARTM,1.0004,0.9812,0.9372,0.9249,0.949,0.9854,0.9861,0.9542,0.9622,0.9814,0.9729,0.9599,0.9599,0.9729,-0.013,-1.34,Dartmouth Power Station,Water,Hydro,Hydro - Gravity,185.0,Generator,Active
YWPS1,VIC1,VYP21,YALLOURN,0.9589,0.9541,0.9702,0.9696,0.965,0.966,0.9663,0.969,0.9696,0.9621,0.9674,0.9658,0.9658,0.9674,-0.0016,-0.17,Yallourn 'W' Power Station,Brown Coal,Fossil,Steam Sub-Critical,360.0,Generator,Active
BALB1,VIC1,VBA23B,BALBESS,,,,,,,,,,0.9605,0.9766,0.9761,0.9761,0.9766,-0.0005,-0.05,Ballarat Battery Energy Storage System,Grid,Battery,Battery,30.0,Generator,Active
CHALLHWF,VIC1,VHOT1,CHALLWF,1.0988,1.0988,1.0988,0.9957,0.9193,0.9711,0.9699,0.9699,0.9759,0.9718,0.9825,0.9791,0.9791,0.9825,-0.0034,-0.35,Challicum Hills Wind Farm,Wind,Wind,Wind - Onshore,52.5,Generator,Active
YSWF1,VIC1,VBAT4Y,YSWF,,,1.016,1.0016,0.9716,0.9711,0.9699,0.9699,0.9759,0.9718,0.9825,0.9791,0.9791,0.9825,-0.0034,-0.35,Yaloak South Wind Farm,Wind,Wind,Wind - Onshore,28.7,Generator,Active
MAROOWF1,VIC1,VBAT5M,MAROOWF1,,,1.016,1.0016,0.9716,0.9711,0.9699,0.9699,0.9759,0.9718,0.9825,0.9791,0.9791,0.9825,-0.0034,-0.35,Maroona Wind Farm,Wind,Wind,Wind - Onshore,6.8,Generator,Active
HEPWIND1,VIC1,VBAT2L,HEPWIND,1.0207,1.0209,1.016,1.0016,0.9716,0.9711,0.9699,0.9699,0.9759,0.9718,0.9825,0.9791,0.9791,0.9825,-0.0034,-0.35,Hepburn Community Wind Farm,Wind,Wind,Wind - Onshore,4.1,Generator,Active
KESSB1,VIC1,VKOT1K,KOORBESS,,,,,,,,,,0.9836,0.9704,0.9794,0.9794,0.9704,0.009,0.93,Koorangie Energy Storage System,Grid,Battery,Battery and Inverter,185.0,Generator,Active
MURR2-2,VIC1,NMUR22,MURRAY2,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.0,0.0,MURRAY2,,,,138.0,Generator,Active
MURR2-1,VIC1,NMUR21,MURRAY2,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.0,0.0,MURRAY2,,,,138.0,Generator,Active
MURR1-9,VIC1,NMUR09,MURRAY1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.0,0.0,MURRAY1,,,,95.0,Generator,Active
MURR1-8,VIC1,NMUR08,MURRAY1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.0,0.0,MURRAY1,,,,95.0,Generator,Active
MURR1-7,VIC1,NMUR07,MURRAY1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.0,0.0,MURRAY1,,,,95.0,Generator,Active
MURR1-6,VIC1,NMUR06,MURRAY1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.0,0.0,MURRAY1,,,,95.0,Generator,Active
MURR1-5,VIC1,NMUR05,MURRAY1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.0,0.0,MURRAY1,,,,95.0,Generator,Active
MURR1-4,VIC1,NMUR04,MURRAY1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.0,0.0,MURRAY1,,,,95.0,Generator,Active
MURR1-3,VIC1,NMUR03,MURRAY1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.0,0.0,MURRAY1,,,,95.0,Generator,Active
MURR1-2,VIC1,NMUR02,MURRAY1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.0,0.0,MURRAY1,,,,95.0,Generator,Active
MURR1-10,VIC1,NMUR10,MURRAY1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.0,0.0,MURRAY1,,,,95.0,Generator,Active
MURR1-1,VIC1,NMUR01,MURRAY1,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.0,0.0,MURRAY1,,,,95.0,Generator,Active
MURR2-3,VIC1,NMUR23,MURRAY2,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.0,0.0,MURRAY2,,,,138.0,Generator,Active
MURR2-4,VIC1,NMUR24,MURRAY2,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.0,0.0,MURRAY2,,,,138.0,Generator,Active
GPWFEST3,VIC1,VGPT3G,GPWFEAST,,,,,,,,,,0.9808,0.9834,0.9815,0.9815,0.9834,-0.0019,-0.19,Golden Plains Wind Farm East,Wind,Wind,Wind - Onshore,248.0,Generator,Active
GPWFEST2,VIC1,VGPT2G,GPWFEAST,,,,,,,,,,0.9808,0.9834,0.9815,0.9815,0.9834,-0.0019,-0.19,Golden Plains Wind Farm East,Wind,Wind,Wind - Onshore,260.4,Generator,Active
GPWFEST1,VIC1,VGPT1G,GPWFEAST,,,,,,,,,,0.9808,0.9834,0.9815,0.9815,0.9834,-0.0019,-0.19,Golden Plains Wind Farm East,Wind,Wind,Wind - Onshore,248.0,Generator,Active
HD1WF1,VIC1,VTR11H,HDWF,,,,,,,,,0.9849,0.9809,0.9865,0.9822,0.9822,0.9865,-0.0043,-0.44,Hawkesdale Wind Farm,Wind,Wind,Wind - Onshore,96.6,Generator,Active
GPWFWST2,VIC1,VGP22G,GPWFWEST,,,,,,,,,,,0.9837,0.9823,0.9823,0.9837,-0.0014,-0.14,Golden Plains Wind Farm West,Wind,Wind,Wind - Onshore,310.0,Generator,Active
GPWFWST1,VIC1,VGP21G,GPWFWEST,,,,,,,,,,,0.9837,0.9823,0.9823,0.9837,-0.0014,-0.14,Golden Plains Wind Farm West,Wind,Wind,Wind - Onshore,266.0,Generator,Active
JLB03,VIC1,VJLGB3,JEERB,0.9667,0.9641,0.983,0.9783,0.9731,0.9734,0.9755,0.9727,0.9764,0.9789,0.9768,0.9823,0.9823,0.9768,0.0055,0.56,"Jeeralang ""B"" Power Station",Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),76.0,Generator,Active
JLB02,VIC1,VJLGB2,JEERB,0.9667,0.9641,0.983,0.9783,0.9731,0.9734,0.9755,0.9727,0.9764,0.9789,0.9768,0.9823,0.9823,0.9768,0.0055,0.56,"Jeeralang ""B"" Power Station",Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),76.0,Generator,Active
JLB01,VIC1,VJLGB1,JEERB,0.9667,0.9641,0.983,0.9783,0.9731,0.9734,0.9755,0.9727,0.9764,0.9789,0.9768,0.9823,0.9823,0.9768,0.0055,0.56,"Jeeralang ""B"" Power Station",Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),76.0,Generator,Active
JLA04,VIC1,VJLGA4,JEERA,0.9667,0.9641,0.983,0.9783,0.9731,0.9734,0.9755,0.9727,0.9764,0.9789,0.9768,0.9823,0.9823,0.9768,0.0055,0.56,"Jeeralang ""A"" Power Station",Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),51.0,Generator,Active
JLA03,VIC1,VJLGA3,JEERA,0.9667,0.9641,0.983,0.9783,0.9731,0.9734,0.9755,0.9727,0.9764,0.9789,0.9768,0.9823,0.9823,0.9768,0.0055,0.56,"Jeeralang ""A"" Power Station",Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),51.0,Generator,Active
JLA02,VIC1,VJLGA2,JEERA,0.9667,0.9641,0.983,0.9783,0.9731,0.9734,0.9755,0.9727,0.9764,0.9789,0.9768,0.9823,0.9823,0.9768,0.0055,0.56,"Jeeralang ""A"" Power Station",Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),51.0,Generator,Active
JLA01,VIC1,VJLGA1,JEERA,0.9667,0.9641,0.983,0.9783,0.9731,0.9734,0.9755,0.9727,0.9764,0.9789,0.9768,0.9823,0.9823,0.9768,0.0055,0.56,"Jeeralang ""A"" Power Station",Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),51.0,Generator,Active
MACARTH1,VIC1,VTRT1M,MACARTH,0.994,1.0022,1.0017,0.9971,0.9818,0.9757,0.9753,0.9807,0.9849,0.9781,0.9829,0.9824,0.9824,0.9829,-0.0005,-0.05,Macarthur Wind Farm,Wind,Wind,Wind - Onshore,420.0,Generator,Active
STOCKYD1,VIC1,VHGT1S,STOCKYD,,,,,,,0.9782,0.9799,0.9869,0.9812,0.9845,0.9827,0.9827,0.9845,-0.0018,-0.18,Stockyard Hill Wind Farm,Wind,Wind,Wind - Onshore,531.0,Generator,Active
DUNDWF3,VIC1,VM053D,DUNDWF,,,,,0.9812,0.979,0.9789,0.9824,0.987,0.981,0.9845,0.9827,0.9827,0.9845,-0.0018,-0.18,Dundonnell Wind Farm,Wind,Wind,Wind - Onshore,121.0,Generator,Active
DUNDWF2,VIC1,VM052D,DUNDWF,,,,,0.9812,0.979,0.9789,0.9824,0.987,0.981,0.9845,0.9827,0.9827,0.9845,-0.0018,-0.18,Dundonnell Wind Farm,Wind,Wind,Wind - Onshore,46.0,Generator,Active
DUNDWF1,VIC1,VM051D,DUNDWF,,,,,0.9812,0.979,0.9789,0.9824,0.987,0.981,0.9845,0.9827,0.9827,0.9845,-0.0018,-0.18,Dundonnell Wind Farm,Wind,Wind,Wind - Onshore,168.0,Generator,Active
RYANCWF1,VIC1,VTR31R,RYANCWF,,,,,,,,,,0.9787,0.9875,0.983,0.983,0.9875,-0.0045,-0.46,Ryan Corner Wind Farm,Wind,Wind,Wind - Onshore,218.4,Generator,Active
LYA3,VIC1,VLYP3,LOYYANGA,0.9742,0.9723,0.9801,0.9798,0.9754,0.976,0.9759,0.9783,0.9782,0.9809,0.9815,0.9834,0.9834,0.9815,0.0019,0.19,Loy Yang A Power Station,Brown Coal,Fossil,Steam Sub-Critical,560.0,Generator,Active
LYA2,VIC1,VLYP2,LOYYANGA,0.9742,0.9723,0.9801,0.9798,0.9754,0.976,0.9759,0.9783,0.9782,0.9809,0.9815,0.9834,0.9834,0.9815,0.0019,0.19,Loy Yang A Power Station,Brown Coal,Fossil,Steam Sub-Critical,530.0,Generator,Active
LYA1,VIC1,VLYP1,LOYYANGA,0.9742,0.9723,0.9801,0.9798,0.9754,0.976,0.9759,0.9783,0.9782,0.9809,0.9815,0.9834,0.9834,0.9815,0.0019,0.19,Loy Yang A Power Station,Brown Coal,Fossil,Steam Sub-Critical,560.0,Generator,Active
LOYYB2,VIC1,VLYP6,LOYYB,0.9742,0.9723,0.9801,0.9798,0.9754,0.976,0.9759,0.9783,0.9782,0.9809,0.9815,0.9834,0.9834,0.9815,0.0019,0.19,Loy Yang B Power Station,Brown Coal,Fossil,Steam Sub-Critical,500.0,Generator,Active
LYA4,VIC1,VLYP4,LOYYANGA,0.9742,0.9723,0.9801,0.9798,0.9754,0.976,0.9759,0.9783,0.9782,0.9809,0.9815,0.9834,0.9834,0.9815,0.0019,0.19,Loy Yang A Power Station,Brown Coal,Fossil,Steam Sub-Critical,560.0,Generator,Active
LOYYB1,VIC1,VLYP5,LOYYB,0.9742,0.9723,0.9801,0.9798,0.9754,0.976,0.9759,0.9783,0.9782,0.9809,0.9815,0.9834,0.9834,0.9815,0.0019,0.19,Loy Yang B Power Station,Brown Coal,Fossil,Steam Sub-Critical,500.0,Generator,Active
LYNL1,VIC1,VLYPL,LOYYANGA,0.9742,0.9723,0.9801,0.9798,0.9754,0.976,0.9759,0.9783,0.9782,0.9809,0.9815,0.9834,0.9834,0.9815,0.0019,0.19,LOY YANG A POWER STATION,,Fossil,,25.0,Generator,Active
VPGS3,VIC1,VLYP09,VPGS,0.9742,0.9723,0.9801,0.9798,0.9754,0.976,0.9759,0.9783,0.9782,0.9809,0.9815,0.9834,0.9834,0.9815,0.0019,0.19,Valley Power Peaking Facility,Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),50.0,Generator,Active
VPGS4,VIC1,VLYP010,VPGS,0.9742,0.9723,0.9801,0.9798,0.9754,0.976,0.9759,0.9783,0.9782,0.9809,0.9815,0.9834,0.9834,0.9815,0.0019,0.19,Valley Power Peaking Facility,Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),50.0,Generator,Active
VPGS5,VIC1,VLYP011,VPGS,0.9742,0.9723,0.9801,0.9798,0.9754,0.976,0.9759,0.9783,0.9782,0.9809,0.9815,0.9834,0.9834,0.9815,0.0019,0.19,Valley Power Peaking Facility,Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),50.0,Generator,Active
VPGS6,VIC1,VLYP012,VPGS,0.9742,0.9723,0.9801,0.9798,0.9754,0.976,0.9759,0.9783,0.9782,0.9809,0.9815,0.9834,0.9834,0.9815,0.0019,0.19,Valley Power Peaking Facility,Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),50.0,Generator,Active
VPGS2,VIC1,VLYP08,VPGS,0.9742,0.9723,0.9801,0.9798,0.9754,0.976,0.9759,0.9783,0.9782,0.9809,0.9815,0.9834,0.9834,0.9815,0.0019,0.19,Valley Power Peaking Facility,Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),50.0,Generator,Active
VPGS1,VIC1,VLYP07,VPGS,0.9742,0.9723,0.9801,0.9798,0.9754,0.976,0.9759,0.9783,0.9782,0.9809,0.9815,0.9834,0.9834,0.9815,0.0019,0.19,Valley Power Peaking Facility,Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),50.0,Generator,Active
BLNKVIC,VIC1,VLYP13,BASSLINK,0.9828,0.9765,0.9874,0.9839,0.9728,0.962,0.9735,0.9749,0.9755,0.9777,0.9907,0.9853,0.9853,0.9907,-0.0054,-0.55,Basslink HVDC Link,,Other,,594.0,Generator,Active
EILDON2,VIC1,VEPS2,EILDON,1.0026,0.9945,0.9696,0.9782,0.9859,0.9903,0.9995,0.9887,0.992,0.9912,0.9945,0.9856,0.9856,0.9945,-0.0089,-0.89,Eildon Power Station,Water,Hydro,Hydro - Gravity,60.0,Generator,Active
EILDON1,VIC1,VEPS1,EILDON,1.0026,0.9945,0.9696,0.9782,0.9859,0.9903,0.9995,0.9887,0.992,0.9912,0.9945,0.9856,0.9856,0.9945,-0.0089,-0.89,Eildon Power Station,Water,Hydro,Hydro - Gravity,60.0,Generator,Active
TRGBESS1,VIC1,VTG31T,TRGBESS,,,,,,,,,,,0.9951,0.9862,0.9862,0.9951,-0.0089,-0.89,Terang BESS,Grid,Battery,Battery and Inverter,144.4,Generator,Active
WKIEWA1,VIC1,VWKP1,WKIEWA,1.0247,1.0026,0.954,0.9607,0.9989,1.0024,1.0096,1.0049,1.011,1.0026,1.0038,0.9865,0.9865,1.0038,-0.0173,-1.72,West Kiewa Power Station,Water,Hydro,Hydro - Gravity,31.0,Generator,Active
WKIEWA2,VIC1,VWKP2,WKIEWA,1.0247,1.0026,0.954,0.9607,0.9989,1.0024,1.0096,1.0049,1.011,1.0026,1.0038,0.9865,0.9865,1.0038,-0.0173,-1.72,West Kiewa Power Station,Water,Hydro,Hydro - Gravity,31.0,Generator,Active
HBESS1,VIC1,VHW23H,HBESS1,,,,,,,,,,0.9864,0.9873,0.9873,0.9873,0.9873,0.0,0.0,Hazelwood Battery Energy Storage System,Grid,Battery,Battery and Inverter,200.0,Generator,Active
MTGELWF1,VIC1,VGTW1M,MTGELWF,,,0.9999,0.9989,0.9871,0.985,0.9862,0.9879,0.9896,0.9855,0.9879,0.989,0.989,0.9879,0.0011,0.11,Mt Gellibrand Wind Farm,Wind,Wind,Wind - Onshore,138.0,Generator,Active
BDL02,VIC1,VMWT3,DEIBDL,0.9771,0.9745,0.9863,0.9866,0.9871,0.9899,0.9874,0.9913,0.9804,0.9816,0.9816,0.9893,0.9893,0.9816,0.0077,0.78,Bairnsdale Power Station,Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),46.0,Generator,Active
BDL01,VIC1,VMWT2,DEIBDL,0.9771,0.9745,0.9863,0.9866,0.9871,0.9899,0.9874,0.9913,0.9804,0.9816,0.9816,0.9893,0.9893,0.9816,0.0077,0.78,Bairnsdale Power Station,Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),46.0,Generator,Active
VBB1,VIC1,VMLB3V,VBB,,,,,,,,,,0.9858,0.9918,0.9897,0.9897,0.9918,-0.0021,-0.21,Victorian Big Battery,Grid,Battery,Battery and Inverter,360.0,Generator,Active
GANNB1,VIC1,VKGB3G,GANNBESS,,,,,,,,,,0.9597,0.9857,0.9919,0.9919,0.9857,0.0062,0.63,Gannawarra Energy Storage System,Grid,Battery,Battery,30.0,Generator,Active
BALDHWF1,VIC1,VMWT9B,BHWF,0.9799,0.9759,0.9886,0.9879,0.9938,0.9955,0.9936,0.9977,0.9825,0.9848,0.9862,0.992,0.992,0.9862,0.0058,0.59,Bald Hills Wind Farm,Wind,Wind,Wind - Onshore,106.6,Generator,Active
WONWP,VIC1,VMWT7,WONWP,0.9799,0.9759,0.9886,0.9879,0.9938,0.9955,0.9936,0.9977,0.9825,0.9848,0.9862,0.992,0.992,0.9862,0.0058,0.59,Wonthaggi Wind Farm,Wind,Wind,Wind - Onshore,12.0,Generator,Active
TGNSS1,VIC1,VMWT1T,TGNSS,0.9799,0.9759,0.9886,0.9879,0.9938,0.9955,0.9936,0.9977,0.9825,0.9848,0.9862,0.992,0.992,0.9862,0.0058,0.59,Traralgon Network Support Station,Natural Gas,Fossil,Spark Ignition Reciprocating Engine,10.0,Generator,Active
LONGFORD,VIC1,VMWT6,LONGFORD,0.9799,0.9759,0.9886,0.9879,0.9938,0.9955,0.9936,0.9977,0.9825,0.9848,0.9862,0.992,0.992,0.9862,0.0058,0.59,LONGFORD PLANT,,Fossil,,44.0,Generator,Active
TOORAWF,VIC1,VMWT5,TOORAWF,0.9799,0.9759,0.9886,0.9879,0.9938,0.9955,0.9936,0.9977,0.9825,0.9848,0.9862,0.992,0.992,0.9862,0.0058,0.59,Toora Wind Farm,Wind,Wind,Wind - Onshore,21.0,Generator,Active
PIBESS1,VIC1,VMWT12,PIBESS,,,,,,,,,,0.9848,0.9862,0.992,0.992,0.9862,0.0058,0.59,Phillip Island BESS,Grid,Battery,Battery and Inverter,7.0,Generator,Active
GLENMAG1,VIC1,VMWT8G,GLENMAGG,0.9799,0.9759,0.9886,0.9879,0.9938,0.9955,0.9936,0.9977,0.9825,0.9848,0.9862,0.992,0.992,0.9862,0.0058,0.59,Glenmaggie Hydro Power Station,Water,Hydro,Run of River,3.8,Generator,Active
LVES1,VIC1,VMW61L,LVES,,,,,,,,,,0.9889,0.9902,0.9934,0.9934,0.9902,0.0032,0.32,Latrobe Valley BESS,Grid,Battery,Battery and Inverter,140.0,Generator,Active
MLB01,VIC1,VM041M,MLBESS,,,,,,,,,,,0.9945,0.994,0.994,0.9945,-0.0005,-0.05,Mortlake Battery Energy Storage System,Grid,Battery,Battery and Inverter,440.0,Generator,Active
WILLHOV1,VIC1,VW061W,WILLHOV,1.048,1.0235,0.9621,0.9712,1.0188,1.0274,1.0299,1.0182,1.0233,1.016,1.0135,0.9945,0.9945,1.0135,-0.019,-1.87,William Hovell Power Station,Water,Hydro,Run of River,1.5,Generator,Active
MREHA3,VIC1,VPR31M,MREHA3,,,,,,,,,,,0.9957,0.9947,0.9947,0.9957,-0.001,-0.1,Melbourne Renewable Energy Hub Connection A3,Grid,Battery,Battery and Inverter,215.4,Generator,Active
CODRNGTON,VIC1,VTGT2C,CODRGTON,1.03,1.0339,1.0322,1.0149,1.0019,1.0063,1.0035,0.9972,0.9933,0.9993,1.0018,0.9949,0.9949,1.0018,-0.0069,-0.69,Codrington Wind Farm,Wind,Wind,Wind - Onshore,18.2,Generator,Active
YAMBUKWF,VIC1,VTGT1,YAMBUK,1.03,1.0339,1.0322,1.0149,1.0019,1.0063,1.0035,0.9972,0.9933,0.9993,1.0018,0.9949,0.9949,1.0018,-0.0069,-0.69,Yambuk Wind Farm,Wind,Wind,Wind - Onshore,30.0,Generator,Active
TIMWEST,VIC1,VTGT5T,TIMWEST,,,,1.0149,1.0019,1.0063,1.0035,0.9972,0.9933,0.9993,1.0018,0.9949,0.9949,1.0018,-0.0069,-0.69,Timboon West Wind Farm,Wind,Wind,Wind - Onshore,7.2,Generator,Active
MLWF1,VIC1,VTGT4M,MLWF,1.03,1.0339,1.0322,1.0149,1.0019,1.0063,1.0035,0.9972,0.9933,0.9993,1.0018,0.9949,0.9949,1.0018,-0.0069,-0.69,Mortons Lane Wind Farm,Wind,Wind,Wind - Onshore,20.0,Generator,Active
OAKLAND1,VIC1,VTGT3A,OAKLAND,1.03,1.0339,1.0322,1.0149,1.0019,1.0063,1.0035,0.9972,0.9933,0.9993,1.0018,0.9949,0.9949,1.0018,-0.0069,-0.69,Oaklands Hill Wind Farm,Wind,Wind,Wind - Onshore,67.0,Generator,Active
FSWF1,VIC1,VTGT7F,FSWF,,,,,,1.0079,1.0035,0.9972,0.9933,0.9993,1.0018,0.9949,0.9949,1.0018,-0.0069,-0.69,Ferguson South Wind Farm,Wind,Wind,Wind - Onshore,8.0,Generator,Active
MREHA2,VIC1,VPR21M,MREHA2,,,,,,,,,,0.993,0.9955,0.9951,0.9951,0.9955,-0.0004,-0.04,Melbourne Renewable Energy Hub Connection A2,Grid,Battery,Battery and Inverter,215.8,Generator,Active
MREHA1,VIC1,VPRT1M,MREHA1,,,,,,,,,,0.993,0.9955,0.9951,0.9951,0.9955,-0.0004,-0.04,Melbourne Renewable Energy Hub Connection A1,Grid,Battery,Battery and Inverter,215.8,Generator,Active
MORTLK12,VIC1,VM0P2O,MORTLK,0.9942,1.0015,1.005,0.9961,0.9852,0.9845,0.9865,0.9901,0.9927,0.9914,0.9969,0.9955,0.9955,0.9969,-0.0014,-0.14,Mortlake Power Station,Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),283.0,Generator,Active
MORTLK11,VIC1,VM0P1O,MORTLK,0.9942,1.0015,1.005,0.9961,0.9852,0.9845,0.9865,0.9901,0.9927,0.9914,0.9969,0.9955,0.9955,0.9969,-0.0014,-0.14,Mortlake Power Station,Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),283.0,Generator,Active
RANGEB1,VIC1,VCB33R,RANGBESS,,,,,,,,,,0.9955,0.9961,0.9957,0.9957,0.9961,-0.0004,-0.04,Rangebank BESS,Grid,Battery,Battery and Inverter,260.0,Generator,Active
NPS,VIC1,VNPS,NEWPORT,0.9952,0.9939,0.999,0.9962,0.9922,0.9914,0.9926,0.9919,0.9937,0.9941,0.9943,0.9957,0.9957,0.9943,0.0014,0.14,Newport Power Station,Natural Gas,Fossil,Steam Sub-Critical,500.0,Generator,Active
HALAMRD1,VIC1,VER22L,HALAMRD,0.9931,0.9932,0.9962,0.9956,0.9944,0.9948,0.9944,0.9962,0.9957,0.9954,0.9955,0.9959,0.9959,0.9955,0.0004,0.04,Hallam Road Renewable Energy Facility,Landfill Methane / Landfill Gas,Other Renewable,Spark Ignition Reciprocating Engine,8.984,Generator,Active
HLMSEW01,VIC1,VER21H,HLMSEW01,0.9931,0.9932,0.9962,0.9956,0.9944,0.9948,0.9921,0.9935,0.9956,0.9955,0.996,0.9961,0.9961,0.996,0.0001,0.01,South East Water - Halllam Hydro Plant,Water,Hydro,Hydro - Gravity,0.25,Generator,Active
AGLSOM,VIC1,VTTS1,AGLSOM,0.9946,0.9949,0.9968,0.9963,0.9915,0.9924,0.9932,0.9924,0.996,0.9962,0.9965,0.9968,0.9968,0.9965,0.0003,0.03,Somerton Power Station,Natural Gas,Fossil,Open Cycle Gas turbines (OCGT),170.0,Generator,Active
HASTING3,VIC1,VTBT3H,HASTING,,,,,,,,,0.996,0.9959,0.9964,0.9969,0.9969,0.9964,0.0005,0.05,Hastings Generation Site,Ethane,Fossil,Open Cycle Gas turbines (OCGT),14.817,Generator,Active
HASTING2,VIC1,VTBT2H,HASTING,,,,,,,,,0.996,0.9959,0.9964,0.9969,0.9969,0.9964,0.0005,0.05,Hastings Generation Site,,,,14.0,Generator,Active
