DUID,REGIONID,CONNECTIONPOINTID,STATIONID,FY15-16,FY16-17,FY17-18,FY18-19,FY19-20,FY20-21,FY21-22,FY22-23,FY23-24,FY24-25,FY25-26,FY26-27,LATEST_MLF,PREV_MLF,YOY_CHANGE,YOY_PCT_CHANGE,STATION_NAME,FUEL_SOURCE,FUEL_CATEGORY,TECHNOLOGY,CAPACITY_MW,DUID_TYPE,STATUS
TRIBNL1,TAS1,TNT31,TRIBUTE,0.9642,0.971,0.9607,0.9552,0.9611,0.9454,0.9369,0.9582,0.9373,0.9542,0.9586,0.9586,0.9586,0.9586,0.0,0.0,Tribute Power Station,,Hydro,,25.0,Generator,Active
JBUTTERS,TAS1,TJB11,JBUTTERS,0.9384,0.9456,0.9445,0.9365,0.937,0.923,0.9258,0.9395,0.9208,0.9245,0.9386,0.9602,0.9602,0.9386,0.0216,2.3,John Butters Power Station,Water,Hydro,Hydro - Gravity,144.0,Generator,Active
BASTYAN,TAS1,TFA11,BASTYAN,0.9466,0.9496,0.9486,0.941,0.9456,0.9301,0.9286,0.9334,0.9202,0.9313,0.934,0.9623,0.9623,0.934,0.0283,3.03,Bastyan Power Station,Water,Hydro,Hydro - Gravity,79.9,Generator,Active
GRANWF1,TAS1,TGH11G,GRANWF,,,,,0.959,0.9408,0.9314,0.9543,0.9388,0.9473,0.9555,0.9688,0.9688,0.9555,0.0133,1.39,Granville Harbour Wind Farm,Wind,Wind,Wind - Onshore,110.0,Generator,Active
CETHANA,TAS1,TCE11,CETHANA,0.9671,0.9723,0.963,0.9628,0.9658,0.9545,0.9512,0.9544,0.9504,0.958,0.9473,0.9705,0.9705,0.9473,0.0232,2.45,Cethana Power Station,Water,Hydro,Hydro - Gravity,85.0,Generator,Active
DEVILS_G,TAS1,TDG11,DEVILS_G,0.9719,0.97,0.9703,0.9692,0.9698,0.9618,0.9566,0.9594,0.9537,0.9628,0.9616,0.9761,0.9761,0.9616,0.0145,1.51,Devils Gate Power Station,Water,Hydro,Hydro - Gravity,60.0,Generator,Active
ROWALLAN,TAS1,TFI12,ROWALLAN,0.9701,0.9755,0.9671,0.966,0.9688,0.9587,0.9561,0.9655,0.9557,0.9642,0.9533,0.9796,0.9796,0.9533,0.0263,2.76,Rowallan Power Station,Water,Hydro,Hydro - Gravity,10.5,Generator,Active
FISHER,TAS1,TFI11,FISHER,0.9701,0.9755,0.9671,0.966,0.9688,0.9587,0.9561,0.9655,0.9557,0.9642,0.9533,0.9796,0.9796,0.9533,0.0263,2.76,Fisher Power Station,Water,Hydro,Hydro - Gravity,43.2,Generator,Active
PALOONA,TAS1,TPA11,PALOONA,0.983,0.9754,0.9668,0.9771,0.9702,0.9604,0.9587,0.9642,0.9572,0.9657,0.9648,0.9803,0.9803,0.9648,0.0155,1.61,Paloona Power Station,Water,Hydro,Hydro - Gravity,28.0,Generator,Active
LEM_WIL,TAS1,TSH11,LEM_WIL,0.9746,0.9749,0.9711,0.9701,0.9716,0.9626,0.9608,0.9672,0.9567,0.9678,0.9676,0.9863,0.9863,0.9676,0.0187,1.93,Lemonthyme / Wilmot Power Station,Water,Hydro,Hydro - Gravity,81.6,Generator,Active
POAT110,TAS1,TPM21,PTINA110,0.963,0.9824,0.9677,0.9799,0.9728,0.9561,0.9512,0.9625,0.9555,0.9641,0.9763,0.9872,0.9872,0.9763,0.0109,1.12,Poatina Power Station,Water,Hydro,Hydro - Gravity,100.0,Generator,Active
GORDON,TAS1,TGO11,GORDON,0.94,0.9676,0.9594,0.9868,0.9594,0.9491,0.928,0.94,0.9731,0.9622,0.9594,0.9872,0.9872,0.9594,0.0278,2.9,Gordon Power Station,Water,Hydro,Hydro - Gravity,432.0,Generator,Active
PO110NL1,TAS1,TAL22,PTINA110,0.9911,1.0012,0.9937,0.9943,0.9902,0.9703,0.9815,0.9774,0.9726,0.9846,0.9891,0.9891,0.9891,0.9891,0.0,0.0,Poatina Power Station,,Hydro,,25.0,Generator,Active
GOVILLB1,TAS1,TGO21,GORDON,0.9903,1.0155,1.0012,1.0024,0.9984,0.9859,0.971,0.9879,0.993,0.9892,0.9918,0.9918,0.9918,0.9918,0.0,0.0,Gordon Power Station,,Hydro,,25.0,Generator,Active
WYB252B1,TAS1,TWY23,LI_WY_CA,0.9927,1.0079,0.9979,1.0006,0.9958,0.9865,0.9802,0.991,0.9819,0.992,0.9919,0.9919,0.9919,0.9919,0.0,0.0,Catagunya / Liapootah / Wayatinah Power Station,,Hydro,,25.0,Generator,Active
WYA252B1,TAS1,TWY22,LI_WY_CA,0.9927,1.0079,0.9979,1.0006,0.9958,0.9865,0.9802,0.991,0.9819,0.992,0.9919,0.9919,0.9919,0.9919,0.0,0.0,Catagunya / Liapootah / Wayatinah Power Station,,Hydro,,25.0,Generator,Active
L_W_CNL1,TAS1,TWY21,LI_WY_CA,0.9927,1.0079,0.9979,1.0006,0.9958,0.9865,0.9802,0.991,0.9819,0.992,0.9919,0.9919,0.9919,0.9919,0.0,0.0,Catagunya / Liapootah / Wayatinah Power Station,,Hydro,,25.0,Generator,Active
TREVALLN,TAS1,TTR11,TREVALLN,0.9857,0.9927,0.9898,0.9909,0.9889,0.9805,0.9848,0.9891,0.9825,0.99,0.9852,0.997,0.997,0.9852,0.0118,1.2,Trevallyn Power Station,Water,Hydro,Hydro - Gravity,93.0,Generator,Active
POAT220,TAS1,TPM11,PTINA220,0.9725,0.9929,0.9813,0.9912,0.9846,0.9715,0.9691,0.9771,0.9733,0.9802,0.9845,0.9972,0.9972,0.9845,0.0127,1.29,Poatina Power Station,Water,Hydro,Hydro - Gravity,200.0,Generator,Active
